,client_id,district_id,client_age,client_gender,disp_id,account_id,disp_type,card_id,card_type,days_since_card_issuance,district_name,region,num_inhabitants,num_munipalities_gt499,num_munipalities_500to1999,num_munipalities_2000to9999,num_munipalities_gt10000,num_cities,ratio_urban,average_salary,unemp_rate95,unemp_rate96,num_entrep_per1000,num_crimes95,num_crimes96,account_district_id,account_freq,account_date_opened,freq_orders,freq_order_insurance,freq_order_household,freq_order_leasing,mon_order_insurance,mon_order_household,mon_order_leasing,loan_id,loan_date,loan_amount,loan_duration,monthly_loan_payment,loan_status,recent_transaction,length_of_relationship,mon_avg_balance,freq_transaction,mon_trans_cred,mon_trans_withraw,freq_first_3years,freq_last_3years,potential_loan,risky_customer,type_of_customer
0,1,18,48.04,F,1,1,OWNER,,,,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,2.83,1910,18,MONTHLY,1995-03-24,1.0,0.0,1.0,0.0,0.0,2452.0,0.0,,,,,,,1,1378,15994.008368200848,239,1905.1029411764705,1320.102189781023,0,239,True,False,prospect
1,2,1,73.91,M,2,2,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,0.29,99107,1,MONTHLY,1993-02-26,2.0,0.0,1.0,0.0,0.0,7266.0,0.0,4959.0,1994-01-05,80952.0,24.0,3373.0,A,1,2134,36540.70439330545,478,10506.93092105263,4768.177300613501,139,339,False,False,regular
2,3,1,78.23,F,3,2,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,0.29,99107,1,MONTHLY,1993-02-26,2.0,0.0,1.0,0.0,0.0,7266.0,0.0,4959.0,1994-01-05,80952.0,24.0,3373.0,A,1,2134,36540.70439330545,478,10506.93092105263,4768.177300613501,139,339,False,False,regular
3,4,5,62.08,M,4,3,OWNER,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,3.85,3040,5,MONTHLY,1997-07-07,3.0,1.0,1.0,0.0,3539.0,1135.0,0.0,,,,,,,1,542,26973.50683760683,117,3762.1521739130435,1717.7859154929583,0,117,False,False,regular
4,5,5,58.49,F,5,3,DISPONENT,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,3.85,3040,5,MONTHLY,1997-07-07,3.0,1.0,1.0,0.0,3539.0,1135.0,0.0,,,,,,,1,542,26973.50683760683,117,3762.1521739130435,1717.7859154929583,0,117,False,False,regular
5,6,12,99.3,M,6,4,OWNER,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3.83,3868,12,MONTHLY,1996-02-21,2.0,0.0,2.0,0.0,0.0,1681.5,0.0,,,,,,,1,1044,21753.44623655914,186,2959.169230769231,1310.9537190082651,0,186,False,False,regular
6,7,15,89.95,M,7,5,OWNER,,,,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,3.13,1879,15,MONTHLY,1997-05-30,1.0,0.0,1.0,0.0,0.0,2668.0,0.0,,,,,,,1,580,25090.069047619036,84,2785.2857142857147,1416.2530612244898,0,84,False,False,regular
7,8,51,80.87,F,8,6,OWNER,,,,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,2.51,3839,51,MONTHLY,1994-09-27,1.0,0.0,1.0,0.0,0.0,3954.0,0.0,,,,,,,1,1556,34547.34918699189,246,3511.287878787878,2040.473469387755,4,242,False,False,regular
8,9,60,83.22,M,9,7,OWNER,1.0,gold,7364.0,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,3.45,2252,60,MONTHLY,1996-11-24,1.0,0.0,1.0,0.0,0.0,4880.0,0.0,,,,,,,1,767,62598.591538461515,130,12358.194117647057,7111.0379746835415,0,130,False,False,regular
9,10,57,75.67,M,10,8,OWNER,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3.73,3651,57,MONTHLY,1995-09-21,2.0,0.0,1.0,0.0,0.0,2612.0,0.0,,,,,,,1,1197,46819.412992125974,254,10628.115476190475,4824.378823529409,0,254,False,False,regular
10,11,57,68.36,F,11,8,DISPONENT,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3.73,3651,57,MONTHLY,1995-09-21,2.0,0.0,1.0,0.0,0.0,2612.0,0.0,,,,,,,1,1197,46819.412992125974,254,10628.115476190475,4824.378823529409,0,254,False,False,regular
11,12,40,37.84,M,12,9,OWNER,,,,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6.49,6872,70,MONTHLY,1993-01-27,,,,,,,,,,,,,,1,2164,26625.330470914167,361,1968.065027322404,1889.2033707865166,113,248,True,False,prospect
12,13,54,44.58,F,13,10,OWNER,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,1.6,18696,54,MONTHLY,1996-08-28,2.0,0.0,1.0,1.0,0.0,7033.0,1344.0,,,,,,,1,855,47792.1269230769,156,9321.191525423728,5058.296907216493,0,156,True,False,prospect
13,14,76,76.53,F,14,11,OWNER,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,4.73,2807,76,MONTHLY,1995-10-10,1.0,0.0,1.0,0.0,0.0,2132.0,0.0,,,,,,,1,1178,27834.55,186,1780.2999999999997,1097.7233644859816,0,186,False,False,regular
14,15,21,100.36,F,15,12,OWNER,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,1.51,2354,21,MONTHLY,1997-04-15,2.0,0.0,2.0,0.0,0.0,1796.0,0.0,,,,,,,1,625,20142.70188679244,106,3113.648717948719,1422.6716417910452,0,106,False,False,regular
15,16,21,99.87,M,16,12,DISPONENT,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,1.51,2354,21,MONTHLY,1997-04-15,2.0,0.0,2.0,0.0,0.0,1796.0,0.0,,,,,,,1,625,20142.70188679244,106,3113.648717948719,1422.6716417910452,0,106,False,False,regular
16,17,76,84.23,M,17,13,OWNER,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,4.73,2807,76,MONTHLY,1997-08-17,1.0,0.0,1.0,0.0,0.0,2444.0,0.0,,,,,,,1,501,15120.499999999995,75,3571.5935483870967,2215.7863636363636,0,75,False,False,regular
17,18,76,87.75,F,18,13,DISPONENT,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,4.73,2807,76,MONTHLY,1997-08-17,1.0,0.0,1.0,0.0,0.0,2444.0,0.0,,,,,,,1,501,15120.499999999995,75,3571.5935483870967,2215.7863636363636,0,75,False,False,regular
18,19,47,76.01,M,19,14,OWNER,2.0,classic,7581.0,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,1.51,5410,47,MONTHLY,1996-11-27,1.0,0.0,1.0,0.0,0.0,3629.0,0.0,,,,,,,1,764,39603.633064516136,124,7934.346153846152,5184.333333333332,0,124,False,False,regular
19,20,46,39.97,M,20,15,OWNER,,,,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,1.79,2618,70,MONTHLY,1993-10-02,1.0,0.0,1.0,0.0,0.0,3072.0,0.0,,,,,,,1,1916,38645.22876712329,365,9213.163565891471,4835.062711864406,74,291,True,False,prospect
20,21,12,66.17,F,21,16,OWNER,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3.83,3868,12,MONTHLY,1997-09-23,,,,,,,,,,,,,,1,464,29600.768333333323,60,10850.559375000003,11220.92857142857,0,60,True,False,prospect
21,22,1,49.21,F,22,17,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,0.29,99107,1,MONTHLY,1997-01-08,1.0,0.0,1.0,0.0,0.0,4032.0,0.0,,,,,,,1,722,50791.59629629632,54,7741.32121212121,7504.076190476191,0,54,True,False,prospect
22,23,1,45.58,M,23,17,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,0.29,99107,1,MONTHLY,1997-01-08,1.0,0.0,1.0,0.0,0.0,4032.0,0.0,,,,,,,1,722,50791.59629629632,54,7741.32121212121,7504.076190476191,0,54,False,False,regular
23,24,43,79.43,F,24,18,OWNER,,,,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,1.72,3891,43,WEEKLY,1993-05-26,,,,,,,,,,,,,,1,2045,52267.42347560981,328,12212.360897435894,10602.151162790698,79,249,False,False,regular
24,25,21,79.7,F,25,19,OWNER,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,1.51,2354,21,MONTHLY,1995-04-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4961.0,1996-04-29,30276.0,12.0,2523.0,B,1,1364,16253.069966996678,303,5218.385526315789,5180.9357615894,0,303,False,True,risky
25,26,74,49.68,F,26,20,OWNER,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,4.75,18347,74,MONTHLY,1996-08-24,1.0,0.0,1.0,0.0,0.0,2003.0,0.0,,,,,,,1,859,15604.086206896545,116,1626.7981132075472,1087.742857142857,0,116,True,False,prospect
26,27,54,52.76,F,27,21,OWNER,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,1.6,18696,54,MONTHLY,1997-12-06,1.0,0.0,1.0,0.0,0.0,6276.0,0.0,,,,,,,1,390,35286.20967741936,62,5171.514705882353,4378.600000000001,0,62,True,False,prospect
27,28,1,73.26,M,28,22,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,0.29,99107,1,MONTHLY,1994-03-23,1.0,0.0,1.0,0.0,0.0,6352.0,0.0,,,,,,,1,1744,40694.42645161284,310,9047.485593220337,5374.287499999996,40,270,False,False,regular
28,29,30,67.3,F,29,23,OWNER,,,,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,3.38,2804,30,MONTHLY,1993-05-22,1.0,0.0,1.0,0.0,0.0,5807.0,0.0,,,,,,,1,2049,52316.11729729735,370,11967.01313868613,6679.739055793996,95,275,True,False,prospect
29,30,74,61.22,F,30,24,OWNER,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,4.75,18347,74,MONTHLY,1996-12-05,2.0,0.0,1.0,0.0,0.0,221.0,0.0,,,,,,,1,756,27687.50214285717,140,6824.165384615384,3787.2045454545455,0,140,True,False,prospect
